wer	acts	words	chars
KERKERMEISTER	1	11	59
OMAR	10	324	1828
VOLK	3	18	87
HASSAR	4	62	350
MANSOR	7	231	1299
ALZINDE	79	3052	16647
MOISASUR	6	479	2743
ERSTER GEIST	1	52	282
HAUSBEDIENTE HÄNFLING	2	10	54
GLUTHAHN	91	3069	16098
TRAUTEL	33	380	1936
HANS	47	1018	5293
MIRZEL	43	998	5313
ARIEL	1	94	566
GENIUS	11	676	3748
HOANGHU	19	868	4889
EIN HÄUPTLING	1	6	31
CARAMBUCO	12	535	2889
OSSA	8	94	482
HÄNFLING	12	409	2179
ROSSI	28	367	1996
SCHATTEN	4	76	410
GENIUS DER TUGEND	16	409	2206
GENIUS DER VERGÄNGLICHKEIT	16	493	2798
EINE STIMME	1	5	39
LEISER CHOR DER GENIEN	1	3	17
AMTMANN	47	787	4313
AKTUAR	3	23	108
KOHLENBAUER	1	37	190
