wer	acts	words	chars
ZEREMONIENMEISTER	3	21	114
TONG	23	1162	6885
HAITANG	139	5391	30375
Frau Tschang	16	525	3033
PAO	28	849	4889
MA	36	1242	6927
TSCHAO	49	938	5511
FRAU MA	75	2418	13755
TSCHANG – LING	1	7	36
EIN POLIZIST	3	15	86
TSCHU	48	1515	9146
HEBAMME	18	441	2320
ZWEI KULIS	7	296	1686
DIENER	1	19	100
KURIER	1	3	20
ERSTER SOLDAT	19	389	2227
ZWEITER SOLDAT	10	176	993
DRITTER SOLDAT	6	127	729
VIERTER SOLDAT	3	491	2717
WIRT	4	110	643
KAISER	47	1661	9407
DICHTER	7	123	666
