wer	acts	words	chars
OBERJÄGER	5	162	881
BERNHARD	67	1034	5744
KNECHT	1	8	43
WÄCHTER	12	115	647
SOLDAT	1	44	271
ULRICH	58	847	4833
ANNE	54	1019	5671
JULIE	95	1263	6811
ADOLF	121	3397	19235
CARL	60	1432	8262
MÄDCHEN	3	32	175
GENOVEFA	138	3635	20315
SIEGFRIED	104	2352	13179
GOLO	260	7025	38920
HEINRICH	54	3043	17743
KAMMERFRAU	3	83	474
MATHILDE	256	8182	46381
CHRISTINE	74	1160	6471
DRAGONES	69	1389	7775
WALLROD	55	1639	9232
STEFFEN	39	987	5569
BRANDFUCHS	44	916	5023
KNAPPE	1	9	61
ADAM	84	1861	10261
CHOR	5	169	934
ZWEY STIMMEN	5	107	601
EINE STIMME	3	87	501
DREY STIMMEN	3	173	971
ERSTER WÄCHTER	6	61	322
ZWEYTER WÄCHTER	8	149	876
DRITTER WÄCHTER	3	51	280
MARGRETHE	29	540	2865
CHRISTOPH	11	234	1344
REITKNECHT	4	84	458
ALLE RITTER	3	51	317
HEROLD	2	51	318
ALLES VOLK	3	77	462
EIN WEIB	1	27	154
EIN MANN	1	7	40
EIN ANDRER	2	20	101
RITTER	3	31	179
ERSTER MÖRDER	25	225	1152
ZWEYTER MÖRDER	25	307	1575
ERSTER BEDIENTER	3	26	152
ZWEYTER BEDIENTER	3	50	266
SCHMERZENREICH	20	229	1255
ERWIN	14	238	1311
BLUTRICHTER	4	107	626
FÖRSTER	10	172	943
BEDIENTER	15	239	1302
ANDRER BEDIENTER	2	22	127
DOCTOR	15	207	1204
FRANCISKANER	21	297	1676
JÄGER	3	33	199
