wer	acts	words	chars
ORCHESTER	1	19	272
DIREKTOR	4	0	0
DICHTER	4	0	0
LUSTIGE PERSON	3	0	0
RAPHAEL	2	66	797
GABRIEL	2	68	818
MICHAEL	2	70	815
MEPHISTOPHELES	257	8408	92536
DER HERR	7	227	2355
FAUST	225	9037	97546
GEIST	5	163	1490
WAGNER	19	942	10289
CHOR DER ENGEL	3	66	420
CHOR DER WEIBER	1	27	156
CHOR DER JÜNGER	1	44	273
EINIGE HANDWERKSBURSCHEN	3	23	238
ANDRE HANDWERKSBURSCHEN	4	15	157
EIN HANDWERKSBURSCH	2	19	218
ZWEITER HANDWERKSBURSCH	2	19	210
DRITTER HANDWERKSBURSCH	2	16	200
VIERTER HANDWERKSBURSCH	2	35	382
FÜNFTER HANDWERKSBURSCH	2	31	363
ERSTES DIENSTMÄDCHEN	4	60	649
ANDRES DIENSTMÄDCHEN	2	11	140
BÜRGERMÄDCHEN	3	66	758
ANDRES BÜRGERMÄDCHEN	2	36	442
ZWEITER SCHÜLER	2	48	586
ERSTER SCHÜLER	20	443	4926
BÜRGER	2	57	609
BETTLER	2	59	723
ANDRER BÜRGER	2	71	795
DRITTER BÜRGER	2	39	445
ALTE	2	47	468
SOLDATEN	3	92	1135
ALTER BAUER	3	155	1863
GEISTER	3	299	2894
FROSCH	25	315	3410
BRANDER	20	433	4840
SIEBEL	24	306	3228
ALTMAYER	23	215	2231
CHORUS	6	48	537
DIE TIERE	4	35	415
DER KATER	5	127	1541
KÄTZIN	1	13	188
DIE HEXE	10	187	2036
MARGARETE	95	2842	30492
MARTHE	40	608	6310
LIESCHEN	7	197	2165
VALENTIN	11	545	6415
VOLK	2	8	80
BÖSER GEIST	4	130	1499
CHOR IM DOM	4	36	581
IRRLICHT	2	288	3514
STIMME	11	90	1098
HEXEN	8	226	2496
HEXENMEISTER	1	28	308
STIMMEN	1	22	226
HALBHEXE	1	25	285
GENERAL	1	28	297
MINISTER	1	26	295
PARVENU	1	28	310
AUTOR	1	28	306
TRÖDELHEXE	1	94	1120
DIE SCHÖNE	3	41	433
DIE ALTE	1	25	293
PROKTOPHANTASMIST	3	123	1388
SERVIBILIS	1	44	541
THEATERMEISTER	1	18	257
HEROLD	1	21	273
OBERON	2	42	548
PUCK	2	41	542
ARIEL	2	39	525
TITANIA	1	24	276
ORCHESTER TUTTI	1	18	271
SOLO	1	42	573
EIN PÄRCHEN	1	22	277
NEUGIERIGER REISENDER	2	43	550
ORTHODOX	1	21	276
NORDISCHER KÜNSTLER	1	19	269
PURIST	1	22	274
JUNGE HEXE	1	25	283
MATRONE	1	24	283
KAPELLMEISTER	2	40	558
WINDFAHNE	2	42	556
XENIEN	1	18	263
HENNINGS	1	21	266
MUSAGET	1	46	582
KRANICH	1	23	275
WELTKIND	1	20	272
TÄNZER	1	22	267
TANZMEISTER	1	23	291
FIDELER	1	24	291
DOGMATIKER	1	24	290
IDEALIST	1	23	274
REALIST	1	24	277
SUPERNATURALIST	1	23	274
SKEPTIKER	1	26	289
DIE GEWANDTEN	1	23	273
DIE UNBEHÜLFLICHEN	1	19	287
IRRLICHTER	1	20	272
STERNSCHNUPPE	1	23	266
DIE MASSIVEN	1	19	273
